ID_RSSD,bank_name,bank_short_name
1562859,ALLY FINANCIAL INC.,ALLY
1275216,AMERICAN EXPRESS COMPANY,AXP
1073757,BANK OF AMERICA CORPORATION,BAC
3587146,"BANK OF NEW YORK MELLON CORPORATION, THE",BNYM
5006575,BARCLAYS US LLC,BARC
1245415,BMO FINANCIAL CORP.,BMO
1575569,"BNP Paribas USA, Inc.",BNP
2277860,CAPITAL ONE FINANCIAL CORPORATION,COF
1951350,CITIGROUP INC.,C
1132449,"CITIZENS FINANCIAL GROUP, INC.",CFG
1574834,"Credit Suisse Holdings, Inc.",CS
2816906,DB USA Corporation,DB
3846375,Discover Financial Services,DFS
5149016,DWS USA Corporation,DWS
1070345,FIFTH THIRD BANCORP,FITB
2380443,"GOLDMAN SACHS GROUP, INC., THE",GS
3232316,HSBC NORTH AMERICA HOLDINGS INC.,HSBC
1068191,Huntington Bancshares Incorporated,HBAN
1039502,JPMORGAN CHASE & CO.,JPM
1068025,KEYCORP,KEY
1037003,M&T Bank Corporation,MTB
2162966,MORGAN STANLEY,MS
1378434,MUFG AMERICAS HOLDINGS CORPORATION,MUFG
1199611,NORTHERN TRUST CORPORATION,NTRS
1069778,"PNC FINANCIAL SERVICES GROUP, INC., THE",PNC
5280254,RBC US GROUP HOLDINGS LLC,RBC
3242838,REGIONS FINANCIAL CORPORATION,RF
3981856,"SANTANDER HOLDINGS USA, INC.",SAN
1111435,STATE STREET CORPORATION,STT
3606542,TD GROUP US HOLDINGS LLC,TD
1074156,TRUIST FINANCIAL CORPORATION,TFC
1119794,U.S. BANCORP,USB
4846998,UBS AMERICAS HOLDING LLC,UBS
1120754,WELLS FARGO & COMPANY,WFC
