"","date","ID_RSSD","Name","total_interest_income","total_noninterest_income","total_interest_expense","total_noninterest_expense","chargeoffs","total_loans_and_leases","Assets"
"1",20020331,1037003,"M&T BK CORP                   ",0.0147363039496293,0.00369389354381833,0.0049100243721437,0.00686286335543149,0.080553729827665,25108707,"   31,295,975"
"2",20020331,1039502,"J P MORGAN CHASE & CO         ",0.00882235708230644,0.00639571766211748,0.00471433303205017,0.00750868762175302,0.411756875238126,217847000,"  712,508,000"
"3",20020331,1068025,"KEYCORP                       ",0.0135193287731411,0.00569555992638706,0.00542222983420068,0.00839745854670124,0.366953188479362,63487662,"   80,726,567"
"4",20020331,1068191,"HUNTINGTON BSHRS              ",0.0135567965595606,0.0195570362294196,0.00588732062727175,0.0165529933475234,0.287565199343043,17730240,"   24,725,679"
"5",20020331,1069778,"PNC FNCL SVC GROUP            ",0.0128777630117276,0.011680368755258,0.00402220299306511,0.0117683793207312,0.133370645957973,42752286,"   66,582,915"
"6",20020331,1070345,"FIFTH THIRD BC                ",0.0150330894325913,0.0066755625265847,0.00525743791814221,0.00707739706829154,0.163742772841942,43515203,"   70,618,618"
"7",20020331,1073757,"BANK OF AMER CORP             ",0.0123531869383357,0.00592010917520136,0.00438442962893659,0.00737997260941313,0.319043526012941,335064000,"  619,921,000"
"8",20020331,1074156,"BB&T CORP                     ",0.0153126595430307,0.00496649794204683,0.00618872155820202,0.00771890673681152,0.136763489009768,50484057.8461538,"   74,949,720"
"9",20020331,1111435,"STATE STREET CORP             ",0.00715131202704337,0.00950832477059041,0.00331750154166208,0.00975198384668567,0,5864192,"   73,299,137"
"10",20020331,1119794,"U S BC                        ",0.014340951166955,0.00778657925885459,0.00425688184770403,0.00872135724908191,0.332322379417897,116062000,"  164,745,000"
"11",20020331,1132449,"CITIZENS FNCL GROUP           ",0.0129903271305416,0.0028031341247831,0.00455861128828902,0.00769108615845371,0.131502000624344,26322033,"   52,972,492"
"12",20020331,1199611,"NORTHERN TR CORP              ",0.00829859429038969,0.0103157373989143,0.00436685904523017,0.00903004377316979,0.0367833268807129,17698236,"   37,961,610"
"13",20020331,1245415,"BANKMONT FC                   ",0.0102321787112545,0.00458029453921876,0.00389513323777708,0.00777981082160184,0.253462782091942,16787080,"   34,813,700"
"14",20020331,1275216,NA,NA,NA,NA,NA,NA,NA,NA
"15",20020331,1378434,"UNIONBANCAL CORP              ",0.0127729674471818,0.00475687037935402,0.00215261952929471,0.00895916731110168,0.263069862833508,25026812,"   36,224,237"
"16",20020331,1562859,NA,NA,NA,NA,NA,NA,NA,NA
"17",20020331,1574834,NA,NA,NA,NA,NA,NA,NA,NA
"18",20020331,1575569,NA,NA,NA,NA,NA,NA,NA,NA
"19",20020331,1951350,"CITIGROUP                     ",0.0138059881417132,0.0118110124548885,0.00458277116305192,0.011948107940476,0.594412282422103,413013000,"1,057,657,000"
"20",20020331,2162966,NA,NA,NA,NA,NA,NA,NA,NA
"21",20020331,2277860,NA,NA,NA,NA,NA,NA,NA,NA
"22",20020331,2380443,NA,NA,NA,NA,NA,NA,NA,NA
"23",20020331,2816906,"TAUNUS CORP                   ",0.00838369060492335,0.00556792400822679,0.00723872527192927,0.00567393931683735,0.220146367584935,33614000,"  235,815,000"
"24",20020331,3232316,NA,NA,NA,NA,NA,NA,NA,NA
"25",20020331,3242838,NA,NA,NA,NA,NA,NA,NA,NA
"26",20020331,3587146,NA,NA,NA,NA,NA,NA,NA,NA
"27",20020331,3606542,NA,NA,NA,NA,NA,NA,NA,NA
"28",20020331,3846375,NA,NA,NA,NA,NA,NA,NA,NA
"29",20020331,3981856,NA,NA,NA,NA,NA,NA,NA,NA
"30",20020331,4846998,NA,NA,NA,NA,NA,NA,NA,NA
"31",20020331,5006575,NA,NA,NA,NA,NA,NA,NA,NA
"32",20020331,5280254,NA,NA,NA,NA,NA,NA,NA,NA
"33",20020630,1037003,"M&T BK CORP                   ",0.0145626405945351,0.00348449265376048,0.00459152791221962,0.00669943009634271,0.113427990180943,25214235,"   31,685,531"
"34",20020630,1039502,"J P MORGAN CHASE & CO         ",0.00877460684413932,0.00616842167805916,0.00488288371012739,0.00700834249324147,0.433579990070687,211495000,"  740,546,000"
"35",20020630,1068025,"KEYCORP                       ",0.0134115046497346,0.0055705763256507,0.00509827841996196,0.00823044246668911,0.368652020395996,63928037,"   82,238,349"
"36",20020630,1068191,"HUNTINGTON BSHRS              ",0.0127386602750803,0.0113051374030765,0.00500446945274323,0.0130774936711847,0.273254509733198,16734582,"   25,348,741"
"37",20020630,1069778,"PNC FNCL SVC GROUP            ",0.0120151899486814,0.0126603123487166,0.00372784030400812,0.0122240558513489,0.199275302893625,41155125,"   66,937,685"
"38",20020630,1070345,"FIFTH THIRD BC                ",0.0145844278131926,0.0057937355352979,0.00493245515746316,0.00704829791550795,0.145517330364472,44478551,"   74,923,337"
"39",20020630,1073757,"BANK OF AMER CORP             ",0.0122359221111195,0.00575144725960454,0.00452660200987394,0.00694496654386888,0.314412113632512,342226000,"  638,448,000"
"40",20020630,1074156,"BB&T CORP                     ",0.0147021408349717,0.0050358138577822,0.00566159463451936,0.00755700244143324,0.137558584600469,50265129,"   76,333,441"
"41",20020630,1111435,"STATE STREET CORP             ",0.0064191078971998,0.00938687950251633,0.00327462035187356,0.0093101484103846,0,5667182,"   79,342,022"
"42",20020630,1119794,"U S BC                        ",0.0137352852748676,0.00814079881588381,0.0040172066884063,0.00879819144753579,0.338329358895996,116159000,"  172,956,000"
"43",20020630,1132449,"CITIZENS FNCL GROUP           ",0.0127129154419888,0.00306426767293166,0.00419136644611572,0.00728542035144328,0.126796382071565,26668742,"   55,461,865"
"44",20020630,1199611,"NORTHERN TR CORP              ",0.00822810577700673,0.0105903986121153,0.00422642964905277,0.00941525726156776,0.0312745218426785,17630965,"   37,801,410"
"45",20020630,1245415,"BANKMONT FC                   ",0.0101590331927327,0.00452710577585117,0.00393050035487238,0.00862715610594017,0.18419406845633,16698149,"   34,585,673"
"46",20020630,1275216,NA,NA,NA,NA,NA,NA,NA,NA
"47",20020630,1378434,"UNIONBANCAL CORP              ",0.0128271470712034,0.00518982136994839,0.00203405828228106,0.00915687272994077,0.278602350491333,25520962,"   36,144,982"
"48",20020630,1562859,NA,NA,NA,NA,NA,NA,NA,NA
"49",20020630,1574834,NA,NA,NA,NA,NA,NA,NA,NA
"50",20020630,1575569,NA,NA,NA,NA,NA,NA,NA,NA
"51",20020630,1951350,"CITIGROUP                     ",0.0142868220059706,0.0107550405887164,0.005172130496831,0.0119596863674714,0.611203573409906,419991000,"1,083,306,000"
"52",20020630,2162966,NA,NA,NA,NA,NA,NA,NA,NA
"53",20020630,2277860,NA,NA,NA,NA,NA,NA,NA,NA
"54",20020630,2380443,NA,NA,NA,NA,NA,NA,NA,NA
"55",20020630,2816906,"TAUNUS CORP                   ",0.0102919436687905,0.00306899622210888,0.00919834360654604,0.00695495059348335,0.569421713038734,29328000,"  231,346,000"
"56",20020630,3232316,NA,NA,NA,NA,NA,NA,NA,NA
"57",20020630,3242838,NA,NA,NA,NA,NA,NA,NA,NA
"58",20020630,3587146,NA,NA,NA,NA,NA,NA,NA,NA
"59",20020630,3606542,NA,NA,NA,NA,NA,NA,NA,NA
"60",20020630,3846375,NA,NA,NA,NA,NA,NA,NA,NA
"61",20020630,3981856,NA,NA,NA,NA,NA,NA,NA,NA
"62",20020630,4846998,NA,NA,NA,NA,NA,NA,NA,NA
"63",20020630,5006575,NA,NA,NA,NA,NA,NA,NA,NA
"64",20020630,5280254,NA,NA,NA,NA,NA,NA,NA,NA
"65",20020930,1037003,"M&T BK CORP                   ",0.0135078007841635,0.00297875542959586,0.00408858488325545,0.00604829086147001,0.15497361863264,25828267,"   34,148,490"
"66",20020930,1039502,"J P MORGAN CHASE & CO         ",0.00851489499958881,0.00489781721556462,0.00482636543675237,0.0072031481923374,0.652565146778386,205037000,"  741,759,000"
"67",20020930,1068025,"KEYCORP                       ",0.0131875814519346,0.00480503078115715,0.00476237498553288,0.00752920581475612,0.332522649398959,63485901,"   82,989,895"
"68",20020930,1068191,"HUNTINGTON BSHRS              ",0.0127134220520996,0.0110331111711735,0.00482710554416431,0.0122843817997476,0.249885989660016,17507184,"   26,694,465"
"69",20020930,1069778,"PNC FNCL SVC GROUP            ",0.0113606436283692,0.0102944140231721,0.00355484593207117,0.0113564698545499,0.220365139200984,38819661,"   67,804,345"
"70",20020930,1070345,"FIFTH THIRD BC                ",0.0138517471004781,0.00572181165842179,0.00461869475116968,0.0079660116493099,0.14512423331475,45760793,"   77,700,740"
"71",20020930,1073757,"BANK OF AMER CORP             ",0.0121498711377304,0.00515600592114932,0.00436813548947208,0.0070059863001453,0.287208062463454,348876000,"  660,007,000"
"72",20020930,1074156,"BB&T CORP                     ",0.0144132200472481,0.00366812411159112,0.005434457370449,0.00775144602036627,0.150531748968536,51638276,"   78,186,831"
"73",20020930,1111435,"STATE STREET CORP             ",0.00614265073091306,0.00904840630859444,0.00325145229756608,0.00881217828259737,0.0425805556015911,6094331,"   77,556,420"
"74",20020930,1119794,"U S BC                        ",0.0139075664057561,0.00840373320460214,0.00395503603324023,0.00955886578623726,0.324815270935961,116928000,"  174,006,000"
"75",20020930,1132449,"CITIZENS FNCL GROUP           ",0.0122691932586192,0.00276381213106339,0.00424453759945248,0.00676030455984259,0.167584106783467,27825431,"   58,445,000"
"76",20020930,1199611,"NORTHERN TR CORP              ",0.00776745024463615,0.00972351099670998,0.00398802164235346,0.00939003941639625,0.0765609106876613,17614733,"   39,670,547"
"77",20020930,1245415,"BANKMONT FC                   ",0.0092469500604781,0.0039120154457668,0.00358250540108274,0.00853952631905576,1.25406972361217,16979040,"   37,786,405"
"78",20020930,1275216,NA,NA,NA,NA,NA,NA,NA,NA
